Priority;Billing_Agent_Mail_Domain;Billing_Agent_Keyword;Billing_Agent;CDR_param_1;CDR_param_2;CDR_param_3;RFID_param_1;RFID_param_2;RFID_param_3;RFID_param_4;EVSE_param_1;EVSE_param_2;StartDate_param;Quantity_param;Price_param
23;chargepoint.com;ChargePoint;ChargePoint Network NL*CPI;CDR ID;;;Invoice #;;;;Port Contract ID;;Session Start Time;Energy;Fee (excluding VAT)
24;htb.solutions;ChargePoint;ChargePoint Network NL*CPI;CDR ID;;;Invoice #;;;;Port Contract ID;;Session Start Time;Energy;Fee (excluding VAT)
25;e55c.com;Electric55;Electric 55 Charging FR*55C;Session;Authorization Id;;Badge / Evco ID;;;;ID;Plug;Date;Consumption;Prix HT
26;;EVCars;EV Cars Sas;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
27;shell.com;Shell;Shell;CDR_ID;;;Authentication ID;Service Provider ID;;;Charge Point ID;;Start date and time;Volume;Calculated cost (exclu. VAT)
28;;ShellPlc;Shell PLC;CDR_ID;;;Authentication ID;;;;Charge Point ID;;Start date and time;Volume;Calculated cost (excl. VAT)
29;shellrecharge.com;ShellRecharge;Shell Recharge;Transaction ID;;;Start Card;External Card Number;Account;;Evse Id;;Start Time;Charge Amount;Net
30;;Qovoltis;Qovoltis;GIREVE_Session_id;;;ID Client;;;;evse_id;;start_date_time;kWh;total_cost
31;go-electra.com;Electra;ELECTRA;CDR ID (OCPI);HubjectSessionID (OICP);GIREVE AUTH REF (OCPI);User Token;Session ID;;;EVSE ID;Station ID (OCPI);Charge Start Time;Energy (Wh);Cost (EUR with VAT)
32;ze-watt.com;Zewatt;ZE-WATT | FR*ZWO;Gireve ID;;;User ID;;;;EVSE ID;;Starting date;Energy (Wh);Price (exc VAT)
33;;Bluelinc;Blulinc - BE*BLU;;;;;;;;;;;;
34;;Seolis;SÉOLIS | FR*SEO;Session Id Gireve;Session Id eMSP;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW,h);Prix
