Cpo_Id;Billing_Agent_Keyword;Last_Update
DE*004;Electromaps;2024-11-01 00:00:00+00:00
IN*GE6;Electromaps;2024-11-01 00:00:00+00:00
DE*GCE;Elli;2024-12-01 00:00:00+00:00
FR*GCE;Elli;2024-08-01 00:00:00+00:00
DE*ENC;Enercity;2024-11-01 00:00:00+00:00
SM*P_6;Energytix;2024-12-01 00:00:00+00:00
LU*CHY;Enovos;2024-11-01 00:00:00+00:00
DE*APC;Eon;2024-12-01 00:00:00+00:00
DE*NIS;Eon;2024-12-01 00:00:00+00:00
DE*SRS;Eon;2024-12-01 00:00:00+00:00
DE*EDR;Eon;2024-12-01 00:00:00+00:00
ES*ERA;Eranovum;2024-12-01 00:00:00+00:00
ES*PTP;Eranovum;2024-11-01 00:00:00+00:00
FR*CAR;Etotem;2024-11-01 00:00:00+00:00
FR*G10;Etotem;2024-11-01 00:00:00+00:00
FR*QWT;Etotem;2024-11-01 00:00:00+00:00
FR*SUA;Etotem;2024-11-01 00:00:00+00:00
FR*ETI;Etotem;2024-11-01 00:00:00+00:00
FR*ESE;Etotem;2024-09-01 00:00:00+00:00
FR*ELM;Etotem;2024-09-01 00:00:00+00:00
GB*FAS;Fastned;2024-12-01 00:00:00+00:00
BE*FAS;Fastned;2024-11-01 00:00:00+00:00
CH*FAS;Fastned;2024-11-01 00:00:00+00:00
DE*FAS;Fastned;2024-11-01 00:00:00+00:00
FR*FAS;Fastned;2024-11-01 00:00:00+00:00
NL*FAS;Fastned;2024-11-01 00:00:00+00:00
FR*FR1;Freshmile;2024-12-01 00:00:00+00:00
FR*ECH;Freshmile;2024-11-01 00:00:00+00:00
FR*S90;Freshmile;2024-11-01 00:00:00+00:00
FR*EBN;Freshmile;2024-11-01 00:00:00+00:00
FR*S25;Freshmile;2024-11-01 00:00:00+00:00
FR*S52;Freshmile;2024-11-01 00:00:00+00:00
FR*S32;Freshmile;2024-11-01 00:00:00+00:00
FR*S10;Freshmile;2024-11-01 00:00:00+00:00
FR*S82;Freshmile;2024-10-01 00:00:00+00:00
FR*S56;Freshmile;2024-10-01 00:00:00+00:00
FR*S31;Freshmile;2024-10-01 00:00:00+00:00
FR*S89;Freshmile;2024-10-01 00:00:00+00:00
FR*S70;Freshmile;2024-10-01 00:00:00+00:00
FR*CN1;Freshmile;2024-10-01 00:00:00+00:00
FR*S80;Freshmile;2024-10-01 00:00:00+00:00
FR*S60;Freshmile;2024-10-01 00:00:00+00:00
FR*M45;Freshmile;2024-10-01 00:00:00+00:00
FR*S14;Freshmile;2024-10-01 00:00:00+00:00
FR*LE2;Freshmile;2024-10-01 00:00:00+00:00
FR*ZP1;Gireve;2024-12-01 00:00:00+00:00
GB*DRI;GreenFlux;2024-12-01 00:00:00+00:00
FR*GFX;GreenFlux;2024-12-01 00:00:00+00:00
BE*GFX;GreenFlux;2024-12-01 00:00:00+00:00
FR*VIA;GreenFlux;2024-12-01 00:00:00+00:00
FR*ALN;GreenFlux;2024-12-01 00:00:00+00:00
DE*ACO;GreenFlux;2024-12-01 00:00:00+00:00
DE*GFX;GreenFlux;2024-12-01 00:00:00+00:00
DE*MBY;GreenFlux;2024-12-01 00:00:00+00:00
FR*ABA;GreenFlux;2024-12-01 00:00:00+00:00
FR*EVZ;GreenFlux;2024-12-01 00:00:00+00:00
FR*M13;GreenFlux;2024-12-01 00:00:00+00:00
